id,name,average_amount_any_grant_aid,average_amount_any_loan_aid,average_coa,average_amount_personal_contribution,size_category,control,degree_urbanization,state,size,total_enrollment,percent_women,percent_men,percent_native_american,percent_asian_pacific_islander,percent_asian,percent_pacific_islander,percent_african_american,percent_hispanic,percent_white,percent_race_ethnicity_unknown,percent_nonresident_alien,percent_multiracial,total_students,type,degree_granting,percent_under_18,percent_men_under_18,percent_women_under_18,percent_18_to_19,percent_men_18_to_19,percent_women_18_to_19,percent_20_to_21,percent_men_20_to_21,percent_women_20_to_21,percent_22_to_24,percent_men_22_to_24,percent_women_22_to_24,percent_25_to_29,percent_men_25_to_29,percent_women_25_to_29,percent_30_to_34,percent_men_30_to_34,percent_women_30_to_34,percent_35_to_39,percent_men_35_to_39,percent_women_35_to_39,percent_40_to_49,percent_men_40_to_49,percent_women_40_to_49,percent_50_to_64,percent_men_50_to_64,percent_women_50_to_64,percent_65_over,percent_men_65_over,percent_women_65_over,percent_age_unknown,percent_men_age_unknown,percent_women_age_unknown
466152,National American University-Tulsa,0,0,21253.5,21253.5,Under 1-000,Private for-profit,Large,Oklahoma,999,121,81,19.00826446,17,2,2,0,26,2,52,0,0,1,121,for-profit,yes,-1,-1,-1,2,0,2,4,0,4,12,2,9,19,3,16,20,4,15,4,0,4,17,1,15,9,0,9,-1,-1,-1,7,4,3
367839,Colorado Heights University,1106,0,14449.33333,13343.33333,Under 1-000,Private not-for-profit,Large,Colorado,999,122,60,40.16393443,0,2,2,0,8,47,5,0,39,0,122,private,yes,-1,-1,-1,21,6,14,18,9,9,12,7,4,21,8,13,8,3,4,4,0,4,11,4,7,2,0,1,-1,-1,-1,-1,-1,-1
405058,Yeshivas Novominsk,5410,0,18896.66667,13486.66667,Under 1-000,Private not-for-profit,Large,New York,999,123,0,100,0,0,0,0,0,0,100,0,0,0,123,private,yes,4,4,0,64,64,0,31,31,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
457484,New Hope Christian College,2791,7463,16980,6726,Under 1-000,Private not-for-profit,Large,Hawaii,999,124,48,52.41935484,0,52,17,35,6,6,19,0,4,13,124,private,yes,2,0,2,14,9,4,11,6,4,16,7,8,17,10,7,8,5,3,4,1,2,14,6,8,9,4,5,0,0,0,-1,-1,-1
375230,Yeshiva Gedolah Imrei Yosef D'spinka,5550,0,11825,6275,Under 1-000,Private not-for-profit,Large,New York,999,125,0,100,0,0,0,0,0,0,99,0,1,0,125,private,yes,-1,-1,-1,10,10,0,49,49,0,40,40,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
449764,Visible Music College,4072,8703,23420,10645,Under 1-000,Private not-for-profit,Large,Tennessee,999,126,33,66.66666667,2,2,2,0,9,10,77,0,2,0,126,private,yes,-1,-1,-1,23,14,9,38,26,11,18,10,7,14,12,1,1,1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,1
148849,Shimer College,12938,8488,38900,17474,Under 1-000,Private not-for-profit,Large,Illinois,999,127,49,51.18110236,0,4,4,0,2,4,77,6,0,7,127,private,yes,2,1,0,24,10,14,33,16,16,16,10,6,11,7,3,4,2,2,-1,-1,-1,2,1,0,3,0,2,-1,-1,-1,1,0,1
178350,Missouri Tech,4163,5500,25200,15537,Under 1-000,Private for-profit,Small,Missouri,999,129,8,92.24806202,0,3,3,0,12,0,84,0,0,1,129,for-profit,yes,-1,-1,-1,4,4,0,7,7,0,14,13,0,28,27,0,24,19,4,6,6,0,11,10,1,2,2,0,-1,-1,-1,-1,-1,-1
439330,DeVry University-Maryland,4137,8810,28220.5,15273.5,Under 1-000,Private for-profit,Small,Maryland,999,130,44,56.15384615,0,3,3,0,39,12,7,35,4,1,130,for-profit,yes,-1,-1,-1,0,0,0,8,5,3,15,8,6,30,16,14,14,8,6,8,7,0,14,7,6,6,1,4,0,0,0,-1,-1,-1
444413,Beis Medrash Heichal Dovid,6498,0,19233.33333,12735.33333,Under 1-000,Private not-for-profit,Large,New York,999,133,0,100,0,0,0,0,0,0,100,0,0,0,133,private,yes,7,7,0,59,59,0,21,21,0,5,5,0,6,6,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
