id,name,percent_any_financial_aid,percent_any_grant_aid,average_amount_any_grant_aid,percent_federal_grant_aid,average_amount_federal_grant_aid,percent_pell_grant_aid,average_amount_pell_grant_aid,percent_other_grant_aid,average_amount_other_grant_aid,percent_state_grant_aid,average_amount_state_grant_aid,percent_institutional_grant_aid,average_amount_institutional_grant_aid,percent_any_loan_aid,average_amount_any_loan_aid,percent_federal_loan_aid,average_amount_federal_loan_aid,percent_other_loan_aid,average_amount_other_loan_aid
214689,Pennsylvania State University-Penn State Altoona,82,51,6766,33,4787,33,3754,28,1289,33,2619,24,4088,72,7396,71,5627,10,12582
214777,Pennsylvania State University-Main Campus,69,37,8250,16,4997,16,3916,15,1419,16,2700,29,6234,53,7680,52,5489,7,16168
214883,Peirce College,84,68,7139,68,4898,63,4577,37,1250,21,3038,42,2122,79,8839,79,8839,0,
214971,Pennsylvania Academy of the Fine Arts,100,100,14628,54,5000,54,4107,46,1042,18,3229,100,11356,72,6116,72,5759,3,10000
215053,Pennsylvania College of Art and Design,84,56,5850,33,4409,33,3680,33,729,47,2654,17,3333,78,9190,78,5580,18,15343
215062,University of Pennsylvania,63,48,34658,17,6513,16,4190,17,2771,6,2225,48,32194,30,4816,28,4872,1,3405
215099,Philadelphia University,99,99,16192,31,5260,31,4188,31,1087,20,2856,98,13998,74,7983,74,6316,8,15370
215105,The University of the Arts,100,99,17501,31,5433,31,4127,28,1484,16,3017,98,15343,87,7109,87,6064,7,13167
215132,University of the Sciences,100,100,14199,30,5886,30,3911,30,1989,19,2886,100,11899,79,10735,78,5513,24,17306
215293,University of Pittsburgh-Pittsburgh Campus,77,49,10833,16,5103,16,3702,15,1522,18,2711,32,12306,60,8061,60,5997,10,12829
215442,Point Park University,99,98,14729,63,2926,36,3863,27,1687,46,4544,96,10856,94,6393,82,5979,12,9139
215770,Saint Joseph's University,94,93,16105,12,5614,12,3965,12,1883,13,2214,93,15127,60,9743,59,5649,12,20554
215929,University of Scranton,93,91,18508,24,4808,24,3728,22,1260,18,2752,91,16683,69,8190,69,5422,12,16380
216311,Talmudical Yeshiva of Philadelphia,63,63,8687,34,6559,34,4891,34,1668,0,,63,5079,0,,0,,0,
216339,Temple University,90,85,6961,31,4826,31,4123,30,783,31,2758,67,5332,72,7701,72,5632,12,12784
216931,Wilkes University,98,97,17577,38,5113,37,3986,34,1314,36,2870,97,14520,82,7999,82,5578,16,12272
217040,Yeshivath Beth Moshe,85,85,6094,60,4244,40,4131,45,1986,0,,70,3762,60,2625,60,2625,0,
217156,Brown University,64,49,31627,17,6171,17,4320,15,2104,5,591,46,31288,24,6464,23,5767,2,16787
217235,Johnson & Wales University-Providence,99,98,11070,43,4304,41,3800,41,672,18,521,98,9148,91,7466,91,5343,16,12702
217402,Providence College,80,72,21775,16,6084,16,3867,15,2367,12,817,72,20375,62,8818,62,6391,9,17476
217493,Rhode Island School of Design,53,35,20942,17,5072,17,3927,12,1610,3,845,33,19258,48,5836,48,3712,4,24313
217624,Allen University,89,80,7397,76,5408,76,4469,46,1552,50,3070,16,1731,73,7326,73,7326,0,
217633,Anderson University,100,100,17641,44,5045,42,4114,40,1225,76,6586,100,10420,64,6183,62,5536,8,7130
217688,Charleston Southern University,100,100,15640,54,5216,54,4240,49,1084,72,5373,98,9020,77,6320,76,5907,5,7098
