id,name,average_amount_any_grant_aid,average_amount_any_loan_aid,average_coa,size_category,control,degree_urbanization,state
150145,Bethel College-Mishawaka,13669,7447,31153.33333,1-000 - 4-999,Private not-for-profit,Small,Indiana
150163,Butler University,14806,8456,45748,1-000 - 4-999,Private not-for-profit,Large,Indiana
150534,University of Evansville,20121,6632,39333.33333,1-000 - 4-999,Private not-for-profit,Midsize,Indiana
150668,Goshen College,15582,6125,34040,Under 1-000,Private not-for-profit,Small,Indiana
151102,Indiana University-Purdue University-Fort Wayne,6772,5265,22894,10-000 - 19-999,Public,Large,Indiana
151111,Indiana University-Purdue University-Indianapolis,8686,5893,26852,20-000 and above,Public,Large,Indiana
151263,University of Indianapolis,14863,7390,33447.33333,5-000 - 9-999,Private not-for-profit,Large,Indiana
151290,Indiana Institute of Technology,12315,9517,35570,1-000 - 4-999,Private not-for-profit,Large,Indiana
151324,Indiana State University,6880,6171,20121.33333,10-000 - 19-999,Public,Small,Indiana
151333,Indiana University-Kokomo,7294,5483,20094,1-000 - 4-999,Public,Small,Indiana
151342,Indiana University-South Bend,7020,5597,21732,5-000 - 9-999,Public,Midsize,Indiana
151351,Indiana University-Bloomington,10531,6711,28721,20-000 and above,Public,Small,Indiana
151360,Indiana University-Northwest,6263,6258,23525,5-000 - 9-999,Public,Small,Indiana
151786,Marian University,17634,6868,36063.33333,1-000 - 4-999,Private not-for-profit,Large,Indiana
151810,Martin University,4781,5762,19385,Under 1-000,Private not-for-profit,Large,Indiana
152336,University of Saint Francis-Fort Wayne,13173,7345,32340,1-000 - 4-999,Private not-for-profit,Large,Indiana
152822,AIB College of Business,9876,5363,21421,Under 1-000,Private not-for-profit,Midsize,Iowa
152992,Briar Cliff University,17318,6836,34200,1-000 - 4-999,Private not-for-profit,Small,Iowa
153126,Clarke University,15362,7912,34980,1-000 - 4-999,Private not-for-profit,Small,Iowa
153144,Coe College,21551,6076,43550,1-000 - 4-999,Private not-for-profit,Midsize,Iowa
153269,Drake University,15880,6851,41252,5-000 - 9-999,Private not-for-profit,Midsize,Iowa
153278,University of Dubuque,11612,8162,32050,1-000 - 4-999,Private not-for-profit,Small,Iowa
153375,Grand View University,12655,7150,29865.33333,1-000 - 4-999,Private not-for-profit,Midsize,Iowa
153603,Iowa State University,7026,6385,19938,20-000 and above,Public,Small,Iowa
153658,University of Iowa,7341,5428,23851.66667,20-000 and above,Public,Small,Iowa
153825,Loras College,15056,7423,35054,1-000 - 4-999,Private not-for-profit,Small,Iowa
154004,Morningside College,15639,7306,35388,1-000 - 4-999,Private not-for-profit,Small,Iowa
154013,Mount Mercy University,11418,6856,34137.33333,1-000 - 4-999,Private not-for-profit,Midsize,Iowa
154095,University of Northern Iowa,5212,5616,19319.33333,10-000 - 19-999,Public,Small,Iowa
154174,Palmer College of Chiropractic-Davenport,5663,10373,26351,1-000 - 4-999,Private not-for-profit,Small,Iowa
154235,Saint Ambrose University,13684,7547,37255,1-000 - 4-999,Private not-for-profit,Small,Iowa
155089,Friends University,12292,6213,30937.33333,1-000 - 4-999,Private not-for-profit,Large,Kansas
155317,University of Kansas,6791,5714,23785.33333,20-000 and above,Public,Small,Kansas
155335,Newman University,14472,5356,34046.66667,1-000 - 4-999,Private not-for-profit,Large,Kansas
156082,Washburn University,4831,5883,19251.66667,5-000 - 9-999,Public,Midsize,Kansas
156125,Wichita State University,5461,5409,18372.33333,10-000 - 19-999,Public,Large,Kansas
156286,Bellarmine University,21942,6568,45626,1-000 - 4-999,Private not-for-profit,Large,Kentucky
156356,Brescia University,14253,6185,27006.66667,Under 1-000,Private not-for-profit,Small,Kentucky
157076,Kentucky Wesleyan College,14633,5553,29051.66667,Under 1-000,Private not-for-profit,Small,Kentucky
157085,University of Kentucky,7676,6074,22038.66667,20-000 and above,Public,Large,Kentucky
157289,University of Louisville,8281,5506,23486,20-000 and above,Public,Large,Kentucky
157748,The Southern Baptist Theological Seminary,1891,10354,19090,1-000 - 4-999,Private not-for-profit,Large,Kentucky
157757,Spalding University,10885,6073,30537.33333,1-000 - 4-999,Private not-for-profit,Large,Kentucky
157793,Sullivan University,3891,6767,28825.66667,5-000 - 9-999,Private for-profit,Large,Kentucky
157818,Transylvania University,17901,6426,36983.33333,1-000 - 4-999,Private not-for-profit,Large,Kentucky
157951,Western Kentucky University,6022,5700,21981.33333,20-000 and above,Public,Small,Kentucky
158477,Centenary College of Louisiana,19309,5687,35423.33333,Under 1-000,Private not-for-profit,Midsize,Louisiana
158802,Dillard University,11016,7594,25197,1-000 - 4-999,Private not-for-profit,Large,Louisiana
159656,Loyola University-New Orleans,20156,6434,43218.66667,5-000 - 9-999,Private not-for-profit,Large,Louisiana
159717,McNeese State University,5854,4773,16681,5-000 - 9-999,Public,Small,Louisiana
159939,University of New Orleans,6821,4880,20362.33333,10-000 - 19-999,Public,Large,Louisiana
